Rank	NCT Number	Title	Acronym	Status	Study Results	Conditions	Interventions	Outcome Measures	Sponsor/Collaborators	Gender	Age	Phases	Enrollment	Funded Bys	Study Type	Study Designs	Other IDs	Start Date	Primary Completion Date	Completion Date	First Posted	Results First Posted	Last Update Posted	Locations	Study Documents	URL
723	NCT04366271	Clinical Trial of Allogeneic Mesenchymal Cells From Umbilical Cord Tissue in Patients With COVID-19	MESCEL-COVID19	Recruiting	No Results Available	COVID	Biological: Mesenchymal cells|Drug: Standard of care	Mortality due to lung involvement due to SARS-CoV-2 virus infection at 28 days of treatment|Mortality due to lung involvement due to SARS-CoV-2 virus infection at 14 days of treatment|Mortality from any cause at 28 days|Days without mechanical respirator and without vasopressor treatment for 28 days|Patients alive without mechanical ventilation and without vasopressors on day 28|Patients alive and without mechanical ventilation on day 14|Patients alive and without mechanical ventilation on day 28|Patients alive and without vasopressors on day 28|Days without vasopressors for 28 days|Patients cured at 15 days|Incidence of Treatment-Emergent Adverse Events	Hospital Infantil Universitario Niño Jesús, Madrid, Spain|Apices Soluciones S.L.	All	40 Years to 80 Years   (Adult, Older Adult)	Phase 2	106	Other|Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	MESCEL-COVID19|2020-001450-22	May 7, 2020	July 31, 2020	May 31, 2021	April 28, 2020		May 11, 2020	Hospital Universitario de Getafe, Getafe, Madrid, Spain|Hospital Universitario de Cruces, Barakaldo, Spain|Hospital Universitario de La Princesa, Madrid, Spain|Hospital Infantil Universitario Niño Jesus, Madrid, Spain|Hospital Ramón Y Cajal, Madrid, Spain|Complejo Universitario La Paz, Madrid, Spain		https://ClinicalTrials.gov/show/NCT04366271
724	NCT04565249	Evaluation of the Safety, Tolerability, and Pharmacokinetics of PLN-74809 in Participants With Acute Respiratory Distress Syndrome (ARDS) Associated With at Least Severe COVID-19		Not yet recruiting	No Results Available	Acute Respiratory Distress Syndrome|SARS-CoV-2	Drug: PLN-74809|Drug: Placebo	Number of participants with treatment-related adverse events and laboratory abnormalities, assessed by CTCAE V5.0|Assessment of PLN-74809 plasma concentrations	Pliant Therapeutics, Inc.	All	18 Years and older   (Adult, Older Adult)	Phase 2	36	Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	PLN-74809-ARDS-204	September 21, 2020	August 31, 2021	October 31, 2021	September 25, 2020		September 25, 2020			https://ClinicalTrials.gov/show/NCT04565249
725	NCT04438850	COVidIVERmectin: Ivermectin for Treatment of Covid-19	COVER	Recruiting	No Results Available	Covid19	Drug: Ivermectin|Other: Placebo	SADR|Viral load|Trend viral load|Clinical resolution|Viral clearance|Virological clearance|hospitalization rate|Severity score	IRCCS Sacro Cuore Don Calabria di Negrar|Istituto Di Ricerche Farmacologiche Mario Negri	All	18 Years and older   (Adult, Older Adult)	Phase 2	102	Other	Interventional	Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	cover_1	July 31, 2020	August 2020	October 2020	June 19, 2020		August 13, 2020	IRCCS Sacro Cuore Don Calabria hospital, Negrar, Verona, Italy|Policlinico S. Orsola, Bologna, Italy|Ospedale Luigi Sacco, Milan, Italy|Ospedale di Rovereto, Rovereto, Italy|Ospedale Amedeo di Savoia, Turin, Italy|Hospital Clinic/ISGlobal, Barcelona, Spain|Hospital La Paz-Carlos III, Madrid, Spain		https://ClinicalTrials.gov/show/NCT04438850
726	NCT04352946	HEalth Care Worker pROphylaxis Against COVID-19: The HERO Trial	HERO	Not yet recruiting	No Results Available	Prophylaxis|COVID-19|Health Care Worker|Hydroxychloroquine	Drug: Hydroxychloroquine Pre-Exposure Prophylaxis|Drug: Placebo oral tablet	Cumulative Incidence of COVID-19 Infection|Adverse events incidence|Duration of symptomatic COVID-19 disease|Days hospitalized attributed to COVID-19|Number or respiratory failure attributable to COVID-19 disease|Mortality Incidence|Days of work lost	GeoSentinel Foundation	All	18 Years and older   (Adult, Older Adult)	Phase 3	374	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention	GFICOVID-19-1	April 24, 2020	June 24, 2020	August 24, 2020	April 20, 2020		April 22, 2020	The New York Center for Travel and Tropical Medicine, New York, New York, United States		https://ClinicalTrials.gov/show/NCT04352946
727	NCT04366115	Evaluating AVM0703 for Treatment of COVID-19 or Influenza-mediated ARDS	AVM0703	Not yet recruiting	No Results Available	Covid19|Acute Respiratory Distress Syndrome	Drug: AVM0703|Drug: Placebo|Drug: hydrocortisone	Dose-Limiting Toxicities|28 day all-cause mortality will be a primary end point for Phase 1 and 2	AVM Biotechnology LLC|Medpace, Inc.	All	18 Years and older   (Adult, Older Adult)	Phase 1|Phase 2	8	Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	AVM0703-101	November 2020	June 2022	June 2023	April 28, 2020		September 18, 2020			https://ClinicalTrials.gov/show/NCT04366115
728	NCT04344288	Corticosteroids During Covid-19 Viral Pneumonia Related to SARS-Cov-2 Infection	CORTI-Covid	Recruiting	No Results Available	Viral Pneumonia Human Coronavirus|COVID-19	Drug: Prednisone|Other: Control group	Number of patients with a theoretical respiratory indication for transfer to intensive care unit evaluated by a SpO2 <90% stabilized at rest and under not more than 5 L / min of supplemental oxygen using medium concentration mask.|disease severity assessed on a 7-level ordinal scale|number of patients with a supplemental oxygen use|radiological signs on chest imaging|number of patients transferred to intensive care unit|number of patients requiring invasive ventilation|Duration of oxygen therapy|number of adverse events induced by corticosteroid treatment|number of patients with infections other than SARS-CoV-2|number of deaths	Hospices Civils de Lyon	All	18 Years and older   (Adult, Older Adult)	Phase 2	304	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	69HCL20_0321|2020-001553-48	April 21, 2020	November 2020	November 2020	April 14, 2020		June 11, 2020	Hôpital Pneumologique et Cardiovasculaire Louis Pradel, Bron, France|Groupement Hospitalier Nord, Lyon, France|Groupement Hospitalier Nord, Lyon, France|Hôpital Edouard Herriot, Lyon, France|Hôpital St Joseph Saint Luc, Lyon, France|Hôpital St Joseph, Marseille, France|Centre hospitalier Lyon Sud, Pierre-Bénite, France|Centre hospitalier Lyon Sud, Pierre-Bénite, France|CHU St Etienne, Saint-Étienne, France|Clinique Charcot, Sainte-Foy-lès-Lyon, France|CHG Vienne, Vienne, France|Médipôle, Villeurbanne, France|Clinique des Portes du Sud, Vénissieux, France|CH Annecy-Genevois, Épagny, France		https://ClinicalTrials.gov/show/NCT04344288
729	NCT04386070	Preventing Pulmonary Complications in Surgical Patients at Risk of COVID-19	PROTECT-Surg	Not yet recruiting	No Results Available	Pulmonary Complications in Surgical Patients|COVID|Severe Acute Respiratory Syndrome	Drug: Lopinavir-Ritonavir|Drug: Hydroxychloroquine	Pneumonia free survival; acute respiratory distress syndrome (ARDS) free survival; or death|Rate of Pneumonia|Rate of ARDs|Death rate|Rate of unexpected ventilation|COVID-19 pulmonary complications|Overall SARS-CoV-2 infected rate|Duration of hospital stay|Pulmonary function	University of Birmingham|Christian Medical College and Hospital, Ludhiana, India|Tamale Teaching Hospital, Ghana.|University of Lagos, Nigeria|Kigali University Teaching Hospital|Hospital Español Veracruz|Université d'Abomey-Calavi|University of Witwatersrand, South Africa|University of Edinburgh|Istituto Clinico Humanitas|University of Cape Town	All	16 Years and older   (Child, Adult, Older Adult)	Phase 3	6400	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention	RG_20-029 COVID-19|2020-001448-24	May 15, 2020	May 14, 2021	May 14, 2026	May 13, 2020		May 13, 2020			https://ClinicalTrials.gov/show/NCT04386070
730	NCT04335786	Valsartan for Prevention of Acute Respiratory Distress Syndrome in Hospitalized Patients With SARS-COV-2 (COVID-19) Infection Disease		Recruiting	No Results Available	Acute Respiratory Distress Syndrome|SARS-CoV-2|COVID|COVID-19|Severe Acute Respiratory Syndrome	Drug: Valsartan (Diovan)|Drug: Placebo oral tablet	first occurrence of intensive care unit admission, mechanical ventilation or death|Death|Mechanical ventilation|Intensive care unit admission|Occurrence of acute kidney injury	Radboud University	All	18 Years and older   (Adult, Older Adult)	Phase 4	651	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	NL73547.091.20|2020-001320-34	April 17, 2020	December 2020	December 2021	April 6, 2020		June 9, 2020	Jeroen Bosch Ziekenhuis, 's-Hertogenbosch, Netherlands|Rijnstate, Arnhem, Netherlands|Radboudumc, Nijmegen, Netherlands|Laurentius Ziekenhuis, Roermond, Netherlands|Erasmus MC, Rotterdam, Netherlands|Franciscus Gasthuis, Rotterdam, Netherlands|Ikazia Ziekenhuis, Rotterdam, Netherlands		https://ClinicalTrials.gov/show/NCT04335786
731	NCT04286503	The Clinical Study of Carrimycin on Treatment Patients With COVID-19		Not yet recruiting	No Results Available	Novel Coronavirus Infectious Disease (COVID-19)	Drug: Carrimycin|Drug: lopinavir/ritonavir tablets or Arbidol or chloroquine phosphate|Drug: basic treatment	Fever to normal time (day)|Pulmonary inflammation resolution time (HRCT) (day)|Negative conversion (%) of 2019-nCOVRNA in gargle (throat swabs) at the end of treatment	Beijing YouAn Hospital|Shenyang Tonglian Group Co., Ltd.|Institute of Medicine and Biotechnology, Chinese Academy of Medical Sciences|Huangshi Central Hospital|Shenyang Pharmaceutical University|First Affiliated Hospital of Chongqing Medical University|The Second Affiliated Hospital of Harbin Medical University|No.2 People's Hospital of Fuyang City|First Affiliated Hospital Bengbu Medical College|Renmin Hospital of Wuhan University|The sixth people's hospital of Shenyang|Nanyang Central Hospital	All	18 Years to 75 Years   (Adult, Older Adult)	Phase 4	520	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	BeijingYouan Hospital	February 23, 2020	February 28, 2021	February 28, 2021	February 27, 2020		February 27, 2020		"Study Protocol", https://ClinicalTrials.gov/ProvidedDocs/03/NCT04286503/Prot_000.pdf|"Informed Consent Form", https://ClinicalTrials.gov/ProvidedDocs/03/NCT04286503/ICF_001.pdf	https://ClinicalTrials.gov/show/NCT04286503
732	NCT04374565	Convalescent Plasma for Treatment of COVID-19 Patients With Pneumonia		Active, not recruiting	No Results Available	Corona Virus Infection|SARS-CoV 2|SARS Pneumonia|Pneumonia	Drug: High-Titer Anti-SARS-CoV-2 (COVID 19) Convalescent Plasma	Transfer to ICU|28 day mortality|Cumulative incidence of serious adverse events|Rates and duration of SARS-CoV-2|Serum of plasma antibody titer to SARS-CoV-2|Cellular and humoral immune response|Supplemental oxygen free days|Ventilator free days|ICU free days|Sequential organ failure assessment score|Need for vasopressors|Need for renal replacement therapy|Need for extracorporeal membrane oxygenation (ECMO)|Hospital length of stay (LOS)|ICU LOS|Grade 3 or 4 Adverse Events (AEs)	University of Virginia	All	18 Years and older   (Adult, Older Adult)	Phase 2	29	Other	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	200114	May 5, 2020	April 5, 2021	April 5, 2021	May 5, 2020		August 21, 2020	University of Virginia Medical Center, Charlottesville, Virginia, United States|University of Virginia, Charlottesville, Virginia, United States		https://ClinicalTrials.gov/show/NCT04374565
733	NCT04339816	Azithromycin Added to Hydrochloroquine in Patients Admitted to Intensive Care With COVID-19: Randomised Controlled Trial	AZIQUINE-ICU	Recruiting	No Results Available	COVID-19|Respiratory Failure	Drug: Azithromycin|Drug: Hydroxychloroquine|Drug: Placebo	Proportion of alive patients free off mechanical ventilation|Proportion of patients who avoided the need of mechanical ventilation|ICU LOS|Mortality28|Mortality90	Frantisek Duska, MD, PhD|Masaryk Hospital Usti nad Labem|University Hospital Pilsen|The Faculty Hospital Na Bulovce|St. Anne's University Hospital Brno, Czech Republic|University Hospital, Motol|General University Hospital, Prague|University Hospital Olomouc|Charles University, Czech Republic	All	18 Years and older   (Adult, Older Adult)	Phase 3	240	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Outcomes Assessor)|Primary Purpose: Treatment	AZIQUINE-ICU-25032020|2020-001456-18	May 13, 2020	December 31, 2021	June 30, 2022	April 9, 2020		June 4, 2020	František Duška, Praha, Česká Republika, Czechia		https://ClinicalTrials.gov/show/NCT04339816
734	NCT04359862	Sedation With Sevoflurane Versus Propofol in Patients With Acute Respiratory Distress Syndrome Caused by COVID19 Infection	SEVO-COVID19	Recruiting	No Results Available	Acute Respiratory Distress Syndrome|COVID19 Infection	Drug: Sevoflurane|Drug: Propofol	PaO2/FiO2|TNFα|IL-1b|IL-6|IL-8|Mortality	Fundación para la Investigación del Hospital Clínico de Valencia	All	18 Years to 99 Years   (Adult, Older Adult)	Phase 4	50	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	SEVO-COVID19	April 16, 2020	August 16, 2020	September 16, 2020	April 24, 2020		April 29, 2020	Hospital Universitario Ramón y Cajal, Madrid, Spain|Hospital Universitario La Paz, Madrid, Spain|Hospital Clínico Universitario de Valencia, Valencia, Spain|Hospital Clínico Universitario de Valencia, Valencia, Spain|Hospital General Universitario de Valencia, Valencia, Spain		https://ClinicalTrials.gov/show/NCT04359862
735	NCT04536350	Inhaled Aviptadil for the Prevention of COVID-19 Related ARDS		Not yet recruiting	No Results Available	Covid19|Corona Virus Infection|ARDS|Aviptadil	Drug: Aviptadil 67μg|Drug: Placebo 0.9% NaCl solution	time to clinical improvement|Frequency of mechanical ventilation|Time requiring oxygen supplementation|Slope in SaO2|Slope in FiO2|Slope in C-reactive Protein|Neutrophile ratio|lymphocyte ratio|Interleukine 6 level|Procalcitonin level|Frequency of Multi organ dysfunction Syndrome (MODS)	Prof. Dr. Jörg Leuppi|Cantonal Hosptal, Baselland	All	18 Years and older   (Adult, Older Adult)	Phase 1	80	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment	Aviptadil Trial	September 2020	December 2021	March 2022	September 2, 2020		September 7, 2020	Cantonal Hospital Baselland Liestal, Liestal, BL, Switzerland|Cantonal Hospital St.Gallen, St.Gallen, Switzerland		https://ClinicalTrials.gov/show/NCT04536350
736	NCT04501978	ACTIV-3: Therapeutics for Inpatients With COVID-19	TICO	Recruiting	No Results Available	Covid19	Drug: LY3819253|Drug: Placebo|Drug: Remdesivir	Pulmonary ordinal outcome (Stage 1)|Pulmonary+ ordinal outcome (Stage 1)|Time from randomization to sustained recovery (Stage 2)|All-cause mortality|Composite of time to sustained recovery and mortality|Days alive outside short-term acute care hospital|Pulmonary ordinal outcome|Pulmonary+ ordinal outcome|Change in New Early Warning (NEW) Score|Incidence of clinical organ failure|Composite of death or serious clinical COVID-19 related events|Composite of cardiovascular events and thromboembolic events|Composite of grade 3 and 4 clinical adverse events, serious adverse events (SAEs) or death|Incidence of infusion reactions|Composite of SAEs or death|Change in SARS-CoV-2 neutralizing antibody levels|Change in overall titers of antibodies|Change in neutralizing antibody levels	National Institute of Allergy and Infectious Diseases (NIAID)|International Network for Strategic Initiatives in Global HIV Trials (INSIGHT)|University of Copenhagen|Medical Research Council|Kirby Institute|Washington D.C. Veterans Affairs Medical Center|AIDS Clinical Trials Group|National Heart, Lung, and Blood Institute (NHLBI)|US Department of Veterans Affairs|Prevention and Early Treatment of Acute Lung Injury (PETAL)|Cardiothoracic Surgical Trials Network (CTSN)	All	18 Years and older   (Adult, Older Adult)	Phase 3	10000	NIH|Other|U.S. Fed	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment	014 / ACTIV-3	August 4, 2020	July 2021	July 2021	August 6, 2020		October 6, 2020	Banner University Medical Center Tucson (Site 206-004), 1625 N. Campbell Avenue, Tucson, Arizona, United States|Community Regional Medical Center (Site 203-005), 2823 Fresno Street, Fresno, California, United States|Keck Hospital of USC (Site 301-020), 1500 San Pablo Street, Los Angeles, California, United States|Mount Zion Hospital, UCSF Medical Center (Site 203-007), 1600 Divisadero St., San Francisco, California, United States|San Francisco VA Healthcare System (Site 074-002), 4150 Clement St., San Francisco, California, United States|Moffitt-Long Hospital, UCSF Medical Center (Site 203-001), 505 Parnassus Ave., San Francisco, California, United States|Stanford University Hospital & Cinics (Site 203-003), 300 Pasteur Dr., Stanford, California, United States|University of Colorado Hospital (Site 204-001), 12605 E. 16th Avenue, Aurora, Colorado, United States|Denver Public Health (Site 017-004), 605 Bannock St., MC2600 (Infectious Disease Clinic), Denver, Colorado, United States|MedStar Georgetown University Hospital (Site 067-001), 3800 Reservoir Road NW, Washington, District of Columbia, United States|Bay Pines VA Healthcare System (Site 074-004), 10000 Bay Pines Blvd., Bldg. 100, Room 5B-104, Bay Pines, Florida, United States|Miami VA Healthcare System (Site 074-003), 1201 NW 16 Street, Miami, Florida, United States|The Emory Clinic (Site 301-008), Bldg. A, Suite 2236, 1365 Clifton Rd., NE, Atlanta, Georgia, United States|University of Kentucky Hospital (Site 210-004), 1000 South Limestone St., Lexington, Kentucky, United States|Ochsner Clinic Foundation (Site 301-015), 1514 Jefferson Highway, New Orleans, Louisiana, United States|University of Maryland (Site 301-019), 22 South Greene Street, Baltimore, Maryland, United States|Massachusetts General Hospital (Site 202-002), 55 Fruit Street, Boston, Massachusetts, United States|Baystate Medical Center (Site 201-001), 759 Chestnut Street, Springfield, Massachusetts, United States|University of Michigan (Site 205-001), 1500 East Medical Center Drive, Ann Arbor, Michigan, United States|Henry Ford Hospital (Site 014-001), 2799 W. Grand Blvd., Detroit, Michigan, United States|Hennepin Healthcare (Site 027-001), 701 Park Avenue, Minneapolis, Minnesota, United States|University of Mississippi Medical Center (Site 202-005), 2500 North State Street, Jackson, Mississippi, United States|Dartmouth-Hitchcock Medical Center/Mary Hitchcock Memorial Hospital (Site 301-024), One Medical Center Drive, Lebanon, New Hampshire, United States|Montefiore Medical Center Weiler Hospital (Site 206-003), 1825 Eastchester Road, Bronx, New York, United States|Montefiore Medical Center Moses Hospital (Site 206-001), 111 E. 210th Street, Bronx, New York, United States|Duke University Hospital (Site 301-006), 2301 Erwin Road, Durham, North Carolina, United States|Wake Forest University Health Sciences (Site 210-001), Medical Center Blvd, Winston-Salem, North Carolina, United States|Cleveland Clinic Foundation (Site 207-001), 9410 Carnegie Avenue, L15, Cleveland, Ohio, United States|Cleveland Clinic Foundation (Site 207-005), 9500 Euclid Avenue, Cleveland, Ohio, United States|Cleveland Clinic Foundation (Site 207-006), 9500 Euclid Avenue, Cleveland, Ohio, United States|Oregon Health & Science University (Site 208-003), 3181 SW Sam Jackson Park Rd., Portland, Oregon, United States|Vanderbilt University Medical Center (Site 212-001), 1211 Medical Center Drive, Nashville, Tennessee, United States|UT Southwestern Medical Center (Site 084-001), 1936 Amelia Court, 2nd Floor, Dallas, Texas, United States|Baylor, Scott and White Health (Site 301-003), Baylor University Medical Center, 3500 Gaston Ave., Dallas, Texas, United States|Memorial Hermann Hospital (Site 203-006), 6411 Fannin Street, Houston, Texas, United States|Michael E. DeBakey Veterans Affairs Medical Center (MEDV AMC) (Site 074-006), 2002 Holcombe Blvd., Houston, Texas, United States|Intermountain Medical Center (Site 211-001), 5121 South Cottonwood Street, Murray, Utah, United States|University of Utah Health (Site 211-002), 419 Wakara Way, Suite 207, Salt Lake City, Utah, United States|University of Virginia (Site 301-021), 1215 Lee Street, Charlottesville, Virginia, United States|Harborview Medical Center (Site 208-001), 325 9th Avenue, Seattle, Washington, United States|University of Washington Medical Center - Montlake (Site 208-006), 1959 NE Pacific Street, Seattle, Washington, United States|WVU Medicine (Site 301-023), One Medical Center Drive, Morgantown, West Virginia, United States|Aalborg University Hospital (Site 625-005), Hobrovej 18, Aalborg, Denmark|Department of Infectious Diseases (Site 625-002), Aarhus University Hospital, Skejby, Palle Juul-Hensens Boulevard 99, Aarhus N, Denmark|Righospitalet (Site 625-006), Blegdamsvej 9,, Copenhagen Ø, Denmark|Herlev Hospital (Site 625-012), Medicinsk Afdeling, Herlev Ringvej 75, Herlev, Denmark|Nordsjællands Hospital (Site 625-009), Dyrehavevej 29, Hillerød, Denmark|Hvidovre Hospital (Site 625-001), Department of Infectious Diseases, Kettegård allé 30, Hvidovre, Denmark|Medicinsk Afdeling (Site 625-011), Kolding Sygehus, Sygehusvej 24, Kolding, Denmark|Odense Universitetshospital (Site 625-004), Infektionsmedicinsk Forskningsenhed,J.B. Winsløwsgade 4, Odense, Denmark|Tan Tock Seng Hospital (Site 612-201), National Centre for Infectious Diseases (NCID), 11 Jalan Tan Tock Seng, Singapore, Singapore		https://ClinicalTrials.gov/show/NCT04501978
737	NCT04347512	EVALUATION OF THE EFFICACY OF THE HYDROXYCHLOROQUINE-AZITHROMYCIN COMBINATION IN THE IN THE PREVENTION OF COVID-19 RELATED SDRA	TEACHCOVID	Withdrawn	No Results Available	Sars-CoV-2, Community-Acquired Pneumonia,COVID-19	Drug: Hydroxychloroquine and azithromycin treatment arm.|Drug: Hydroxychloroquine|Drug: Control arm	Rate of patients reaching a significant hypoxemia, in each arms.	University Hospital, Strasbourg, France	All	18 Years and older   (Adult, Older Adult)	Phase 3	0	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	7783	June 2, 2020	June 2, 2020	June 2, 2020	April 15, 2020		June 4, 2020			https://ClinicalTrials.gov/show/NCT04347512
738	NCT04416399	STerOids in COVID-19 Study	STOIC	Recruiting	No Results Available	Coronavirus Infection	Drug: Budesonide dry powder inhaler	Emergency department attendance of hospitalisation related to COVID-19|Body temperature|Blood oxygen saturation level|Symptoms as assessed by common cold questionnaire|Symptoms as assessed by FluPro questionnaire|Nasal/throat swab SARS-CoV-2 viral load	University of Oxford	All	18 Years and older   (Adult, Older Adult)	Phase 2	478	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	STOIC study	July 16, 2020	November 15, 2020	December 30, 2020	June 4, 2020		July 24, 2020	Oxford Respiratory Trials Unit, Oxford, Oxfordshire, United Kingdom		https://ClinicalTrials.gov/show/NCT04416399
739	NCT04353180	Assessment the Activity Value of Isotretinoin (13- Cis-Retinoic Acid ) in the Treatment of COVID-19 (Randomized)	Isotretinoin	Not yet recruiting	No Results Available	COVID19	Drug: Drug Isotretinoin (13 cis retinoic acid ) capsules+standard treatment|Drug: Isotretinoin(Aerosolized 13 cis retinoic acid) +standard treatment|Drug: Standard treatment	lung injury score|Absolute lymphocyte counts|Serum levels of CRP, ESR ,IL-1,IL-6,TNF and Type I interferon|Serum level of COVID19 RNA|All cause mortality rate|Ventilation free days|ICU free days|d-dimers|Time to first negative SARS-CoV-2 PCR in NP swap|Angiotensin 1-7 (Ang 1-7) changes over time|Angiotensin 1-5 (Ang 1-5) changes over time|Renin changes over time|Aldosterone changes over time|Angiotensin-converting enzyme (ACE) changes over time|Frequency of adverse events and severe adverse events|Angiotensin II (Ang II) changes over time|Sequential organ failure assessment score(SOFA score) over time|Transe membrane protease ,serine II (TMPRSS2) changes over time|Testosterone levels changes over time|Dihydrotestosterone(DHT) levels changes over time|Cholesterol levels changes over time|Thrombin time (TT)	Kafrelsheikh University	All	18 Years to 80 Years   (Adult, Older Adult)	Phase 3	1000	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	Proposed by Mahmoud Elkazzaz	September 2020	October 2020	November 2020	April 20, 2020		September 10, 2020	Faculty of Medicine, Kafr El-sheikh University, Cairo, Kafr El-sheikh, Egypt|Faculty of Medicine, Kafr El-sheikh University, Cairo, Egypt		https://ClinicalTrials.gov/show/NCT04353180
740	NCT04447469	Study of Mavrilimumab (KPL-301) in Participants Hospitalized With Severe Corona Virus Disease 2019 (COVID-19) Pneumonia and Hyper-inflammation		Recruiting	No Results Available	COVID	Drug: mavrilimumab|Other: Placebo	Cohort 1: Proportion of Participants Alive and Without Respiratory Failure at Day 15|Cohort 2: Mortality Rate at Day 15|Cohort 1: Time to Return to Room Air by Day 15|Cohort 1: Time to 2-point Clinical Improvement by Day 15|Cohort 1: Mortality Rate at Day 29|Cohort 1: Time to 1-Point Clinical Improvement by Day 15|Cohort 2: Mortality Rate at Day 29|Cohort 2: Proportion of Participants Alive and Without Respiratory Failure at Day 15|Cohorts 1 and 2: Proportion of Participants Alive and Without Respiratory Failure At Day 29|Cohorts 1 and 2: Time to Return to Room Air by Day 29|Cohort 2: Time to 2-point Clinical Improvement by Day 15|Cohorts 1 and 2: Time to 1-point Clinical Improvement by Day 29|Cohorts 1 and 2: Time to 2-point Clinical Improvement by Day 29|Cohort 1: Respiratory Failure-Free Survival by Day 15|Cohort 1: Respiratory Failure-Free Survival by Day 29|Cohort 1: Proportion of Participants Who Return to Room Air by Day 15|Cohorts 1 and 2: Proportion of Participants Who Return to Room Air by Day 29|Cohort 1: Mortality Rate at Day 15|Cohorts 1 and 2: Overall Survival by Day 29|Cohorts 1 and 2: Clinical Status Over Time|Cohorts 1 and 2: Number of Days Alive and Out of Hospital Through Day 90	Kiniksa Pharmaceuticals, Ltd.	All	18 Years and older   (Adult, Older Adult)	Phase 2|Phase 3	573	Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment	KPL-301-C203	July 27, 2020	February 2021	April 2021	June 25, 2020		October 8, 2020	UCLA Medical Center, Los Angeles, California, United States|Sharp Health Care, San Diego, California, United States|Tulane Medical Center, New Orleans, Louisiana, United States|Allina Health System, Minneapolis, Minnesota, United States|Mercy Hospital Springfield, Springfield, Missouri, United States|Mercy Hospital, Springfield, Missouri, United States|University of Texas Health Sciences, Houston, Texas, United States|UPECLIN - Unidade de Pesquisa Clínica, Botucatu, Brazil|IPECC - Instituto de Pesquisa Clínica de Campinas, Campinas, Brazil|IEP HGF - Instituto de Estudos e Pesquisas Clinicas do Ceará, Fortaleza, Brazil|Hospital Bruno Born, Lajeado, Brazil|Centro de Pesquisas Clínicas, Natal, Brazil|Hospital Cardio Pulmonar, Salvador, Brazil|Hospital Alemão Oswaldo Cruz, São Paulo, Brazil|Clinica Las Condes, Santiago, Chile|Hospital Essalud Alberto Sabogal Sologuren, Bellavista, Peru|Hospital Arzobispo Loayza, Lima Cercado, Peru|Hospital Nacional Cayetano Heredia, San Martín De Porres, Peru|IATROS International, Bloemfontein, South Africa|Limpopo Clinical Research Initiative, Rustenburg, South Africa		https://ClinicalTrials.gov/show/NCT04447469
