PREDICATE,SUBJECT_TEXT,OBJECT_TEXT,SENTENCE,LABEL
COMPLICATES,haemolytic anaemia,infectious mononucleosis,Acute haemolytic anaemia complicating infectious mononucleosis.,1
COMPLICATES,aortic aneurysm,Urinary infection,[Urinary infection complicated by spinal osteomyelitis and aortic aneurysm].,1
COMPLICATES,pulmonary tuberculosis,pneumoconiosis,[Studies on the development of tuberculous foci in pneumoconiosis complicated by       pulmonary tuberculosis].,1
COMPLICATES,multiple aneurysms,Behcet's syndrome,"Behcet's syndrome complicated by multiple aneurysms with rupture, hemorrhage and       infection--a case report.",1
COMPLICATES,shock,anterior       myocardial infarction,The authors report the case of a 72 year old patient with ECG changes of anterior       myocardial infarction complicated by left ventricular failure and shock which has       a favourable outcome with regression of the pathological Q waves on the 7th day.,1
COMPLICATES,leptomeningitis,subarachnoid hemorrhage,[A case of spinal subarachnoid hemorrhage complicated by adhesive       leptomeningitis].,1
COMPLICATES,BACTERIAL ENDOCARDITIS,CONGENITAL       HEART DEFECTS,[CLINICAL ASPECTS AND DIAGNOSIS OF BACTERIAL ENDOCARDITIS COMPLICATING CONGENITAL       HEART DEFECTS OF THE BLUE TYPE].,1
COMPLICATES,fibrositis,systemic lupus erythematosus,"It is important to realize that fibrositis can complicate       diseases such as rheumatoid arthritis and systemic lupus erythematosus, where its       prompt recognition is essential in averting inappropriate medication.",1
COMPLICATES,rheumatoid arthritis,ulcerative colitis,OPERATIVE management of ulcerative colitis complicated by rheumatoid arthritis.,1
COMPLICATES,necrotic lesion,angiopathy,"On the basis of observation of 103 patients with diabetes mellitus who had       angiopathy complicated by pyo-necrotic lesion of the foot, the authors give       recommendations on the most effective complex treatment aimed at normalization of       carbohydrate metabolism, reduction of intoxication and degree of metabolic       disorders which allowed the amount of amputations to be reduced to 28.1%.",1
COMPLICATES,heterotopic ossification,spinal cord injury,Histocompatibility antigens in patients with spinal cord injury or cerebral       damage complicated by heterotopic ossification.,1
COMPLICATES,conduction disturbances,acute myocardial infarction,The fate of patients with intraventricular conduction disturbances complicating       acute myocardial infarction.,1
COMPLICATES,hypophysial radiotherapy,Cushing syndrome,[Cushing syndrome. On a case aggravated by hypophysial radiotherapy].,1
COMPLICATES,massive hemorrhage,gastric leiomyosarcoma,[Case of a giant gastric leiomyosarcoma complicated by a massive hemorrhage].,1
COMPLICATES,Empyema,pulmonary tuberculosis,Empyema complicating pulmonary tuberculosis.,1
COMPLICATES,contact factor deficiency,hemophilia A,[Case of hemophilia A complicated by contact factor deficiency].,1
COMPLICATES,lithium therapy,thyrotoxicosis,Morphological studies in a case of thyrotoxicosis complicated by lithium therapy       for bipolar depression.,1
COMPLICATES,cardiac rupture,myocardial infarction,Classification of cardiac rupture complicated in myocardial infarction.,1
COMPLICATES,chronic bronchitis,coal workers's pneumoconiosis,[Changes in the immunoglobulin content of sputum and serum in the course of       balneotherapy in chronic bronchitis complicating coal workers's pneumoconiosis].,1
COMPLICATES,heart failure,acute myocardial infarction,Combined therapy with digoxin and nitroprusside in heart failure complicating       acute myocardial infarction.,1
COMPLICATES,Gas gangrene,trauma,"We conclude: Gas gangrene       is rare, but can complicate even minor trauma or procedures performed in       hospital.",1
COMPLICATES,diabetes       mellitus,threatened abortion,"17Beta-hydroxysteroid: NAD (P)-oxydoreductase plasma enzyme-activity levels in       threatened abortion, inevitable abortion and pregnancies complicated by diabetes       mellitus.",1
COMPLICATES,Inferior vena cava obstruction,amebic liver abscess,Inferior vena cava obstruction complicating amebic liver abscess.,1
COMPLICATES,icterus,pancreatic cyst,[Apropos of a pancreatic cyst complicated by progressive icterus treated by       cephalic duodeno-pancreatectomy].,1
COMPLICATES,secondary polycythaemia,chronic bronchitis,A homogeneous sample of 14 patients with advanced chronic bronchitis and       emphysema complicated by secondary polycythaemia and pulmonary hypertension was       examined.,1
COMPLICATES,Peritonitis,appendicitis,"Peritonitis       complicated appendicitis, adnexitis, duodenal ulcer perforation, intestinal       obstruction or trauma as its primary disease.",1
COMPLICATES,mitral regurgitation,silent myocardial infarction,Silent mitral regurgitation complicating silent myocardial infarction:       hemodynamic and morphologic documentation.,1
COMPLICATES,caisson       disease,pulmonary barotrauma,[Central nervous system damage in pulmonary barotrauma complicated by caisson       disease].,1
COMPLICATES,scrotal organs inflammation,chronic gonorrhea,"Hypophyseal, sehual gland, and adrenocortical functions have been examined in 15       patients with noncomplicated gonorrhea, in 13 ones with chronic gonorrhea       complicated by scrotal organs inflammation, adn in 15 ones with that complicated       by prostatitis.",1
COMPLICATES,bacteremia,chronic lymphocytic       leukemia,Listeria monocytogenes empyema and bacteremia complicating chronic lymphocytic       leukemia.,1
COMPLICATES,METABOLIC ENCEPHALOPATHY,ENTERITIS,[ENTERITIS COMPLICATED BY TUBULAR NECROSIS AND METABOLIC ENCEPHALOPATHY].,1
COMPLICATES,bacterial arthritis,rheumatic arthritis,"[Secondary amyloidosis in rheumatic arthritis during a long-term, regular       hemodialysis program complicated by bacterial arthritis].",1
COMPLICATES,retinitis,Boutonneuse fever,[Boutonneuse fever complicated with retinitis].,1
COMPLICATES,complete heart       block,acute myocardial infarction,Cardiac pacing in acute myocardial infarction complicated by complete heart       block.,1
COMPLICATES,squamous cell carcinoma,meningitis,This report describes the histopathological changes in the temporal bone of a       71-year-old man who died of meningitis and epidural abscess complicated by       primary squamous cell carcinoma of the middle ear.,1
COMPLICATES,preinfarction angina,ulcerative colitis,A case of a young Japanese woman with long-standing ulcerative colitis       complicated by preinfarction angina due to Takayasu's aortitis is presented.,1
COMPLICATES,"acute, oliguric renal failure",staphylococcal sepsis,"A 16-year-old student was admitted with acute, oliguric renal failure       complicating staphylococcal sepsis.",1
COMPLICATES,vitiligo,syndrome,[Leber syndrome complicated by vitiligo and exostoses].,1
COMPLICATES,hematoma,intracranial aneurysm,[Angiographic visualization of the passage of contrast medium into a hematoma       complicating an intracranial aneurysm].,1
COMPLICATES,glomerulonephritis,Campylobacter enteritis,Campylobacter enteritis complicated by glomerulonephritis.,1
COMPLICATES,ischaemia,Fracture,Fracture of the pelvis complicated by ischaemia of the lower limb.,1
COMPLICATES,side effects,diabetes,"As to side effects, nausea and vomiting were observed       in 10 cases, numbness in 1, fever in 1 and aggravation of diabetes in 2.",1
COMPLICATES,shock,disease,[On a case of Riley's disease complicated by shock].,1
COMPLICATES,pulmonary disease,hyperparathyroidism,"The       differential diagnosis, as based on the histological examination of the bone       tumour, rested between hyperparathyroidism complicated by pulmonary disease and       eosinophilic granuloma with lung manifestations.",1
COMPLICATES,venoocclusive disease,vanishing bile duct syndrome,A fifth patient had severe rejection in the       first week and required retransplantation after 17 days because of thrombotic       venoocclusive disease complicating the acute vanishing bile duct syndrome.,1
COMPLICATES,circulatory       failure,myocardial infarct,[State of the myocardial contractile structures in different areas of the heart       in myocardial infarct complicated by cardiogenic shock and congestive circulatory       failure].,1
COMPLICATES,intussusception,lipoma,[Jejunal lipoma complicated by triple intussusception].,1
COMPLICATES,silicosis,lung cancer,"A clinicopathological analysis was carried out on 16 cases of lung cancer       complicated by silicosis, which were diagnosed from April 1975 to March 1983, and       the results were discussed with a review of the literature.",1
COMPLICATES,IHD,diabetes mellitus,"It was shown that the level of atherogenic lipoproteids is augmented in       all the forms of diabetes mellitus and its latent stage, their highest content       being seen in the disease, aggravated by IHD.",1
COMPLICATES,beta-adrenergic agonists,bronchospasm,A significant side effect of these       agents in patients experiencing reversible airway obstruction is that they block       the effects of beta-adrenergic agonists and can precipitate or worsen       bronchospasm (6-8).,1
COMPLICATES,pregnancy,renal artery stenosis,"Percutaneous       transluminal angioplasty may be useful in the treatment of renal artery stenosis       complicated by hypertension and pregnancy, where the inherent risk of toxemia       endangers the life of the mother and fetus.",1
COMPLICATES,beta-carbolines,paranoid       psychoses,"If dopamine hypothesis is valid, the       beta-carbolines formed in human body may protect rather than worsen in paranoid       psychoses.",1
COMPLICATES,tuberculosis,Hodgkin's disease,Hodgkin's disease complicated by tuberculosis.,1
COMPLICATES,Behcet's disease,Refractory anemia,[Refractory anemia complicated by Behcet's disease--report of three cases].,1
COMPLICATES,coccidioidomycosis,Pulmonary sarcoidosis,Pulmonary sarcoidosis complicated by cryptococcosis and coccidioidomycosis.,1
COMPLICATES,ventricular fibrillation,myocardial infarct,[Characteristics of the changes in afferent impulsation in cardiac nerves in       experimental myocardial infarct complicated by ventricular fibrillation].,1
COMPLICATES,PVR,pulmonary embolism,Recent canine studies       indicate that an increase in vascular closing pressure is the predominant       mechanism explaining the increase in PAP and apparent increase in PVR       complicating pulmonary embolism.,1
COMPLICATES,cardiogenic pulmonary       edema,legionnaires' disease,"Eleven out of 25 pts       developed pulmonary complications, one of them with massive hemoptysis and       roentgenographic signs of pulmonary bleeding, one suffering from protracted shock       after a tumor lysis syndrome, two pts showing symptoms of a cardiogenic pulmonary       edema complicating severe Candida pneumonia in one case and legionnaires' disease       in the other.",1
COMPLICATES,posttraumatic stress disorder,schizophrenia,"We present a       case of schizophrenia complicated by posttraumatic stress disorder and discuss       the implications of this comorbidity for theory, research, and practice.",1
COMPLICATES,atresia,gastroschisis,Two cases of gastroschisis complicated by atresia and ischaemia of the       small-bowel wall are presented.,1
COMPLICATES,hypertension,glomerulonephritis,Aggravation of experimental glomerulonephritis by superimposed clip hypertension.,1
COMPLICATES,sinus       thrombosis,erythrocytosis,[An autopsied case of pure erythrocytosis complicated with cerebral sinus       thrombosis].,1
COMPLICATES,cardiosclerosis,cavities,Chronic       myocarditis in the stage of aggravation was revealed in 3 cases at autopsy and       severe postmyocarditis cardiosclerosis with manifested dilatation of the heart       cavities in 1 case.,0
COMPLICATES,candidiasis,suppurative,[Use of autovaccine in suppurative inflammatory diseases complicated by       candidiasis].,1
COMPLICATES,hemorrhage,retinopathy,[Significance of fluorescein angioscopy during vitrectomy in ischemic retinopathy       complicated with intravitreal hemorrhage].,1
COMPLICATES,post-operative pelvic hematoma,diverticulum,Hutch diverticulum complicated by a       post-operative pelvic hematoma.,1
COMPLICATES,pulmonary haemorrhage,Progressive systemic sclerosis,Progressive systemic sclerosis complicated by diffuse pulmonary haemorrhage.,1
COMPLICATES,adult T-cell leukemia,respiratory failure,[Smoldering adult T-cell leukemia complicating severe respiratory failure--an       autopsy case report].,1
COMPLICATES,Urinary ascites,spina bifida,Urinary ascites complicating spina bifida.,1
COMPLICATES,acute renal failure,poisoning,"In most cases the clinical features are mild and confined       to the gastrointestinal and central nervous systems, though acute renal failure,       hepatic dysfunction, respiratory depression, coma, convulsions, cardiovascular       collapse and cardiac arrest may complicate severe poisoning.",1
COMPLICATES,drugs,psoriasis,The author notes that psoriasis is a common condition and primary care physicians       should be aware of drugs that can worsen this disease.,1
COMPLICATES,septic shock,pneumonias,The most serious pneumonias were those complicated by meningitis (12% of       cases) or septic shock (1 case).,1
COMPLICATES,hematoma,minor head injury,"The authors reported an interesting case of the traumatic middle meningeal       arteriovenous fistula which was caused by the minor head injury on the opposite       side complicated with a subarachnoid hematoma, and was completely cured 35 days       after head injury without any surgical intervention.",1
COMPLICATES,subcutaneous thoracic emphysema,Measles,[Measles complicated by subcutaneous thoracic emphysema].,1
COMPLICATES,syndrome,tics,We reviewed the medication histories in 200 children with Gilles de la Tourette's       syndrome to investigate how frequently CNS stimulants may unmask a latent       syndrome or worsen existing tics.,0
COMPLICATES,hepatitis,lupus erythematosus,[Case of acute lupus erythematosus complicated by hepatitis].,1
COMPLICATES,venous thrombosis,malignant ovarian tumors,[1-time radical operative interventions in malignant ovarian tumors complicated       by acute iliofemoral venous thrombosis].,1
COMPLICATES,postoperative jaundice,trauma,Benign postoperative jaundice complicating severe trauma.,1
COMPLICATES,coma,water-electrolyte balance disorders,[Postoperative water-electrolyte balance disorders complicated by hyperthermal       coma and anuria].,1
COMPLICATES,hemorrhage,Pancreatic pseudocysts,"[Pancreatic pseudocysts, complicated by hemorrhage].",1
COMPLICATES,DIC,Pfeiffer-Weber-Christian Syndrome,[A case of systemic Pfeiffer-Weber-Christian Syndrome complicated by DIC       (author's transl)].,1
COMPLICATES,malignant hypertension,hyphemia,"In this study are given the results of 10 cases       of traumatic hyphemia complicated by malignant hypertension, treated by       ultrasonic irradiation.",1
COMPLICATES,Hyperuricemia,acute leukemia,Hyperuricemia complicating acute leukemia.,1
COMPLICATES,Fluosol-DA,myocardial hypoxia,"The findings suggest that, in the presence of critical       coronary stenosis, hemodilution by Fluosol-DA can be tolerated, while similar       hemodilution with dextran results in aggravation of myocardial hypoxia.",0
COMPLICATES,osteogenic sarcoma,Albright's syndrome,Albright's syndrome with reactivation of fibrous dysplasia secondary to pituitary       adenoma and further complicated by osteogenic sarcoma.,1
COMPLICATES,polyposis,inflammatory bowel disease,We report five patients with inflammatory bowel disease       complicated by asymptomatic filiform polyposis to emphasize the pathology of this       lesion.,1
COMPLICATES,septic abortion,thyrotoxicosis,Dilated cardiomyopathy and thyrotoxicosis complicated by septic abortion.,1
COMPLICATES,infectious mononucleosis,Sickle cell anemia,Sickle cell anemia complicated by infectious mononucleosis.,1
COMPLICATES,erythroderma,reticulosis,[High reticular fever with with erythroderma complicating early localized       reticulosis].,1
COMPLICATES,adenocarcinoma,Exstrophy,Exstrophy of the bladder complicated by adenocarcinoma.,1
COMPLICATES,acquired hemolytic anemia,Paroxysmal nocturnal hemoglobinuria,Paroxysmal nocturnal hemoglobinuria complicated by acquired hemolytic anemia       treated with cortisone.,1
MANIFESTATION_OF,syndrome,warts,"Benign warts and multiple neoplasms frequently appear synchronously or       metachronously in a single patient, and thus present as the genital       neoplasm-papilloma syndrome (GENPS).",0
MANIFESTATION_OF,pathogenetic,alcohol intoxication,"Metabolic changes are evidently one of       the links of the pathogenetic mechanism of alcohol intoxication, which cause       disorders in cardiac activity diagnosed as alcoholic myocardial dystrophy.",0
MANIFESTATION_OF,partial       seizures,gangliocytoma,The dysplastic gangliocytoma may be an       important and surgically remediable cause of very early malignant partial       seizures.,1
MANIFESTATION_OF,symptoms,cardiac arrhythmia,"In 17 patients who experienced symptoms without concomitant       arrhythmia during monitoring, cardiac arrhythmia could be ruled out as the cause       of the symptoms.",0
MANIFESTATION_OF,disability,intraspinal tumors,Need for consideration of intraspinal tumors as a cause of pain and disability.,1
MANIFESTATION_OF,neoplasms,hemostatic,"Thus, elucidation of the role of coagulation and       fibrinolysis inhibition factors as hemostatic mechanisms in living organisms and       in the growth or metastasis of neoplasms is important.",0
MANIFESTATION_OF,mental       retardation,energy metabolism,"Finally, novel       experimental directions concerning energy metabolism by the brain offer       considerable hope for the elucidation of some of the causes of mental       retardation.",1
MANIFESTATION_OF,chromosome deletion,retinitis pigmentosa,"Minor Xp21 chromosome deletion in a male associated with expression of Duchenne       muscular dystrophy, chronic granulomatous disease, retinitis pigmentosa, and       McLeod syndrome.",0
MANIFESTATION_OF,panacinar       emphysema,pathogenetic,"These experiments suggest that damage to       elastic fibres may be an important element in the development of human panacinar       emphysema, and that the damage could be one pathogenetic mechanism which produces       damage of elastic fibres.",1
MANIFESTATION_OF,developmental disabilities,fragile X syndrome,The fragile X syndrome is a frequent cause of developmental disabilities.,1
MANIFESTATION_OF,emboli,stroke,This Doppler ultrasound method       of detecting emboli will be useful in the study of stroke mechanisms and as a       clinical test to guide the medical and surgical treatment of patients at risk of       stroke.,0
MANIFESTATION_OF,Chronic Bartholin's Abscesses,Crohn's Disease,"Crohn's Disease, Presenting as Chronic Bartholin's Abscesses.",1
MANIFESTATION_OF,cancer,carcinogenesis,These findings in       turn have generated hypotheses about host and environmental determinants of       various combinations of cancer and have provided clues to the actual mechanisms       of carcinogenesis.,1
MANIFESTATION_OF,seizures,aggression,"Finally, the impact of experimentally induced limbic seizures on       interictally maintained expression of aggression and defence behaviourally, and       on limbic excitability are reviewed.",0
MANIFESTATION_OF,hyphema,Lymphoma,Lymphoma as a cause of hyphema.,1
MANIFESTATION_OF,cecal infarct mimicking carcinoma,Cholesterol embolization,Cholesterol embolization as a cause of cecal infarct mimicking carcinoma.,1
MANIFESTATION_OF,lipidemia,atherogenesis,"Even though       the intimate atherogenesis mechanism is not perfectly known, the abnormal values       of insulinemia, lipidemia and cortisolemia are certainly involved in this       process.",1
MANIFESTATION_OF,precancerous state,Myeloproliferative disorders,"Myeloproliferative disorders of the eosinophilic line often present as a       precancerous state, but sometimes they seem to acquire malignant independence.",1
MANIFESTATION_OF,deletion,recombination,These results       indicate that the predominating recombination mechanism for reactivation of the       neo gene in this system is either a deletion within a chromatid or an unequal       exchange between sister chromatids.,0
MANIFESTATION_OF,Impotence,dysfunction,Impotence is often the expression of complex psychological and physiological       dysfunction.,1
MANIFESTATION_OF,asymmetrical hypertrophy,pathogenetic,Both asymmetrical hypertrophy of the heart and the sudden death which so       frequently accompanies it probably develop by a variety of pathogenetic       mechanisms.,1
MANIFESTATION_OF,tumour,Mycosis fungoides,Mycosis fungoides presenting as a solitary tumour.,1
MANIFESTATION_OF,diverticular perforation,leiomyosarcoma,"The first       case was a carcinoid tumor encountered in a pathology study of an inflamed       Meckel's diverticulum, and the second case was a leiomyosarcoma on a Meckel's       diverticulum that presented as diverticular perforation.",1
MANIFESTATION_OF,asthma,mast cell       activation,"It is established that activation of lipid       peroxidation of the membranes more pronounced during exacerbation and attacks of       asthma is one of the most important alternative mechanisms of mast cell       activation, that is supported by the data of experimental morphologic and       biochemical studies of the effect exerted by peroxidized fatty acids on histamine       liberation and mast cell degranulation.",1
MANIFESTATION_OF,persistent infection,oncogenesis,"Although integration of Hepadna viral       DNA sequences frequently occurs during persistent infection in man and animals,       the exact mechanism of viral oncogenesis remains to be elucidated.",0
MANIFESTATION_OF,thrombosis,malignant lymphoma,"Since valve thrombosis       and the onset of acute malignant lymphoma appeared simultaneously, we conclude       that the malignant lymphoma may have been the cause of valve thrombosis.",1
MANIFESTATION_OF,skin symptoms,lymphadenopathy,"Over the period of the study skin symptoms, the degree of expression of       lymphadenopathy, polyarthritis and Raynaud's syndrome decreased.",0
MANIFESTATION_OF,pain,functional disturbances,Segmental functional disturbances of the spinal column are important and frequent       causes of pain in the locomotor and supporting system.,1
MANIFESTATION_OF,pathogenetic,isorhythmic AV dissociation,The pathogenetic mechanism of isorhythmic AV dissociation (ID)--the often       so-called nodal rhythm--developing during anesthesia is unclear.,0
MANIFESTATION_OF,depolarization,active solute transport,"In addition       to the electrogenic ternary complex inflow across the mucosal cell membrane, the       decreases in intracellular monovalent ion concentrations, the temporary formation       of an osmotic pressure gradient across the cell membrane and the streaming       potential induced by water inflow through negatively charged pores of the cell       membrane in the course of an active solute transport in intestinal epithelial       cells are apparently all possible causes of mucosal membrane depolarization.",1
MANIFESTATION_OF,coronary artery disease,death,Atherosclerotic coronary artery disease and low levels of carboxyhemoglobin;       report of fatalities and discussion of pathophysiologic mechanisms of death.,0
MANIFESTATION_OF,disorders,voiding,[Electrostimulation in disorders of the voiding mechanism of the bladder].,0
MANIFESTATION_OF,mitral stenosis,blood flow,A contribution to the mechanism of the distribution of pulmonary blood flow in       patients with mitral stenosis.,0
MANIFESTATION_OF,acute       leukemia,complication,"The incidence and underlying mechanism of this rare complication of acute       leukemia are reviewed, and the response of DI to chlorpropamide is discussed       briefly.",0
MANIFESTATION_OF,carcinogenesis,pathogenetic,Each element       of the triad in this syndrome is analyzed with regard to possible pathogenetic       mechanisms and current models of carcinogenesis.,1
MANIFESTATION_OF,incompetence,birth,"In the foal the critical period for some developmental processes, eg,       myelination, is before birth so it is difficult to confirm a pre-natal       hypothyroid state as the cause of neonatal neuromuscular incompetence.",0
MANIFESTATION_OF,associated       symptoms,injury,"This article discusses the mechanism of injury, associated       symptoms, and theories of management for victims of carotid artery injury       associated with blunt craniocervical trauma.",1
MANIFESTATION_OF,meningeal neoplasm,malignant melanoma,"Histologically classified as grade IV tumours,       malignant melanoma may present either as a diffuse meningeal neoplasm, first       described by Virchow in 1859, or as a circumscribed tumour attached to the       meninges.",1
MANIFESTATION_OF,disorders,drug action,"The specific       locus of disorders, such as the HKS and the specific mechanisms of drug action,       may not be so elusive after all.",0
MANIFESTATION_OF,amyloidosis,light chain       deposition disease,This case suggests that light chain       deposition disease and amyloidosis could be two expressions of the same disease.,0
MANIFESTATION_OF,Fibrin deposition,pathogenetic,Fibrin deposition as a pathogenetic mechanism producing glomerulopathy in long       surviving renal allografts.,1
MANIFESTATION_OF,depression,facilitation,A       comparison of responses with a different degree of inhibition participation shows       that the depression of inhibitory processes may act as a mechanism of       facilitation of the responses during non-specific activation.,0
MANIFESTATION_OF,Pathogenetic,disorders,Pathogenetic mechanisms of rheumatic disorders.,0
MANIFESTATION_OF,pulmonary artery pressure,myocardial disorder,"To answer the question, whether the scintigram was false       positive or a correct expression of a myocardial disorder not detectable with       angiocardiographic methods, we compared the scintigraphic results with the       findings of resting and exercise ECG (n = 36), mean pulmonary artery pressure       during exercise (n = 27), myocardial lactate extraction during highrate atrial       pacing (n = 14) and light- and electronmicropic examination of right ventricular       endomyocardial biopsies (n = 14).",1
MANIFESTATION_OF,sudden cardiac death,Ventricular tachyarrhythmias,Ventricular tachyarrhythmias are the cause of sudden cardiac death in ischemic       heart disease.,1
MANIFESTATION_OF,mental disorders,strabismus,[Mental disorders as a causal factor in strabismus; strabismus as a cause of       mental disorders].,1
MANIFESTATION_OF,gastritis,Autoimmune,Autoimmune mechanisms in the pathogenesis of athrophic gastritis and pernicious       anaemia.,1
MANIFESTATION_OF,sarcomas,virus,The finding of widespread occurrence of elevated RD-114 gene       expression in sarcomas and carcinomas is consistent with our similar observation       with natural lymphomas of domestic cats and suggests that expression of certain       functions of this endogenous virus may be etiologically involved in the       development of many different spontaneous neoplasms of cats.,1
MANIFESTATION_OF,man,immune response,These studies       support the notion that the Con A-induced suppressor cell is confined to a       distinct T cell subset in man and that T-T interactions are important in the       overall expression of the immune response.,0
MANIFESTATION_OF,TGA,migraine,We speculate that the vasomotor       phenomena in migraine may play a major role in the cause of TGA.,0
MANIFESTATION_OF,hypoplasia,neonatal persistent       tachycardia,"Although the underlying mechanism of neonatal persistent       tachycardia is unclear, it is possible that the hypoplasia and fibrosis of the       sinus node was the substrate in the present case.",0
MANIFESTATION_OF,Shiga,cytotoxicity,"The results suggested that (1) the presence of a receptor for       Shiga-like toxin on Vero cells is essential for expression of cytotoxicity of the       toxin, (2) the mutant Vero cells could be used to identify Shiga-like toxin       producing organisms.",0
MANIFESTATION_OF,malignant conversion,carcinogenesis,"The       in vitro construction of genetic hybrids linking viral transcriptional enhancers       and cloned human oncogenes, and the subsequent transformation of early passage       cells has been helpful in delineating stages in the malignant conversion of       normal cells and gaining insights into the mechanism of carcinogenesis.",1
MANIFESTATION_OF,signs,intracranial pressure,"Vascular damage in the cerebellum       and ensuing haemorrhages, resulting in acute increases of an already high       intracranial pressure, were thought to be the cause of some of the clinical       signs, particularly convulsions rather than direct pressure-necrosis and atrophy       of nervous tissue.",1
MANIFESTATION_OF,ALS,disease,"Intracellular       recordings from IDPN-intoxicated cats reveal a number of abnormalities which may       have electrophysiological counterparts in ALS, suggesting that the swellings may       be important in the expression of the disease.",0
MANIFESTATION_OF,trait,recessive       inheritance,"These proportions suggest that inheritance of the DR4-associated       IDDM susceptibility determinant is not recessive, because in recessive       inheritance expression of a trait depends on each parent contributing a       susceptibility determinant.",1
MANIFESTATION_OF,myopathy,disease,"The mechanism of onset of this disease is still poorly       understood, but it seems that this disease occurred due to synergic effects of       the hypothalamic hemorrhage and the pre-existing myopathy.",1
MANIFESTATION_OF,pathogenetic,dysfunction,"These observations provide evidence for a pathogenetic mechanism of       neuronal dysfunction in the gangliosidoses while demonstrating protection of       certain vital functional components, such as Na+,K+-ATPase.",0
MANIFESTATION_OF,dementia,encephalitis,"It is suggested that insidious virus encephalitis (perhaps cases that       would previously have been described as encephalitis lethargica) still occurs,       and is among the causes of subcortical dementia.",1
MANIFESTATION_OF,scoliosis,Osteoid-osteoma,Osteoid-osteoma as a cause of scoliosis.,1
MANIFESTATION_OF,cancer-induced cachexia,increased metabolic rate,"An increased metabolic rate has been       suggested to be one of the causes of cancer-induced cachexia, although the       mechanisms producing this hypermetabolism remain unclear.",0
MANIFESTATION_OF,arterial hypertension,malignant transformation,"The increased tendency to thrombosis by angiotensin,       in hypertensive patients with urinary infection, could constitute a mechanism of       malignant transformation of arterial hypertension.",0
MANIFESTATION_OF,cutaneous vasculitis,injury,"In this paper the current concepts of cutaneous vasculitis are reviewed, with       emphasis on clinical patterns, strict pathologic criteria and mechanisms of       injury.",1
MANIFESTATION_OF,infarction,pathogenetic,Extensive       bone marrow infarction is a possible pathogenetic mechanism when chronic       granulocytic leukaemia is followed by myelofibrosis.,0
MANIFESTATION_OF,imbalance,pathogenetic,Possible pathogenetic mechanisms of immunoregulatory cell       imbalance and their implications specifically in reference to idiopathic       glomerulonephritis are discussed.,0
MANIFESTATION_OF,block,neuromuscular       transmission,The mechanism is a presynaptic block of neuromuscular       transmission because of an unknown hypothetic substance produced by the tumor.,0
MANIFESTATION_OF,jaundice,hypertension,"Biliary dilation is currently well established by echography:       in some instances, however, biliary obstruction is earlier suggested by elevated       serum enzymes of biliary stasis, while it is clearly demonstrated that biliary       dilation is a precursor of jaundice, better defined as an expression of biliary       hypertension.",1
MANIFESTATION_OF,hearing loss,bilateral hypoplasia,Studies of the       temporal bones showed bilateral hypoplasia and atrophy of the striae vascularis       as the cause of hearing loss.,1
MANIFESTATION_OF,radiosensitivity,DNA repair,The finding       that cultured cells from patients with Parkinson's disease have an abnormal       radiosensitivity suggests that an acquired defect in DNA repair mechanisms may       play a role.,0
MANIFESTATION_OF,pathogenetic,reactive airway disorders,"The knowledge of pathogenetic mechanisms of reactive airway disorders of children       has advanced to complex interactions that involve respiratory virus infection,       both antigen-specific and nonspecific chemical mediation, and neurogenic       bronchoconstriction.",0
MANIFESTATION_OF,SYNDROME,FIBRINOGENOPENIA,DEMONSTRATION OF TWO ADDITIONAL MECHANISMS IN THE PATHOGENESIS OF THE SYNDROME OF       ACQUIRED FIBRINOGENOPENIA.,0
MANIFESTATION_OF,sporadic goiters,growth,Our observations of       chromatographically purified IgG promoting thyroid cell proliferation in vitro       provide good evidence that IgG was responsible for thyroid cell growth in vitro       and suggest that autoimmune growth mechanisms may be involved in the pathogenesis       of both endemic and sporadic goiters.,0
MANIFESTATION_OF,gastrointestinal haemorrhage,Primary biliary cirrhosis,"Primary biliary cirrhosis, presenting as gastrointestinal haemorrhage.",1
MANIFESTATION_OF,herniation,injury,"Four mechanisms of injury       have been proposed: transient vertebral subluxation, transient disc herniation,       traction and stretching of the spinal cord, and vascular compromise with       infarction.",1
MANIFESTATION_OF,cyst,Gout,Gout as a cause of isolated circumscribed cyst of the patella; report of a case.,1
MANIFESTATION_OF,block,lymphatic circulation,[On the mechanism of re-establishment of lymphatic circulation in a limb after       excision of a regional block of lymph nodes. (Lymphographic and histologic       study)].,0
MANIFESTATION_OF,dementia,sarcoidosis,"Other unusual       features of the index case include the restriction of the initial cognitive       deficit to memory loss and mild anomia, the scarcity of antemortem evidence for       systemic sarcoidosis, a positive tuberculin test, a cerebrospinal fluid (CSF)       protein concentration as high as 2028 mg per deciliter. sarcoidosis is a rare but       potentially treatable cause of dementia.",1
MANIFESTATION_OF,translocations,movement,The       observation of contrary translocations in different regions of the cell support       the concept of a local mechanism of granule movement regulated in a very precise       manner.,0
MANIFESTATION_OF,pneumothorax,lung cancers,"Five-year survival is nil, suggesting that lung cancers present as pneumothorax       at an advanced stage of disease.",1
MANIFESTATION_OF,contraction,cirrhosis,"The ascites of cirrhosis might       no longer be regarded as a cause of effective plasma volume contraction,       stimulating renal sodium retention and a reduction in GFR.",0
